17.85	0.28	1
14.7	0.28	1
15.04	0.26	1
14.26	0.3	1
18	0.28	1
21.06	0.68	1
15.64	0.42	1
17	0.3	1
12.76	0.28	1
15.19	0.15	1
19.98	0.3	1
16.32	0.32	1
14.4	0.14	1
12.9	0.11	1
23.2	0.24	1
25.08	0.6	1
21.06	0.52	1
17.85	0.42	1
21.66	0.51	1
19.38	0.45	1
18.36	0.34	1
18.87	0.6	1
16.56	0.2	1
16.83	0.85	1
16.32	0.38	1
15	0.32	1
17	0.64	1
18.2	0.3	1
17.68	0.28	1
15.04	0.32	1
14.88	0.32	1
18.36	0.6	1
21.32	0.15	1
23.1	0.28	1
15.19	0.15	1
16	0.24	1
19.25	0.26	1
15.19	0.15	1
13.2	0.26	1
17.34	0.3	1
17.5	0.39	1
10.35	0.39	1
14.08	0.26	1
17.5	0.96	1
19.38	0.76	1
14.4	0.42	1
19.38	0.32	1
14.72	0.28	1
19.61	0.3	1
16.5	0.28	1
22.4	6.58	-1
20.48	6.75	-1
21.39	7.35	-1
12.65	5.2	-1
18.2	6.9	-1
15.96	5.85	-1
20.79	7.52	-1
11.76	3.3	-1
19.14	5.98	-1
14.04	5.46	-1
10	3.5	-1
17.7	6.3	-1
13.2	4	-1
17.69	6.58	-1
16.24	4.68	-1
20.77	6.16	-1
16.8	6.75	-1
15.66	4.1	-1
13.64	6.75	-1
14	4.29	-1
18.88	8.64	-1
17.08	5.2	-1
15.75	7.35	-1
17.08	5.64	-1
18.56	5.59	-1
19.8	6.16	-1
19.04	6.72	-1
20.1	8.5	-1
17.4	6.75	-1
14.82	3.5	-1
13.2	4.18	-1
13.2	3.7	-1
15.66	4.68	-1
16.2	8.16	-1
16.2	6.75	-1
20.4	7.2	-1
20.77	7.05	-1
14.49	5.72	-1
16.8	5.33	-1
13.75	5.2	-1
14.3	5.28	-1
18.3	6.44	-1
15.08	4.8	-1
11.5	3.3	-1
15.12	5.46	-1
17.1	5.04	-1
16.53	5.46	-1
17.98	5.59	-1
12.75	3.3	-1
15.96	5.33	-1
20.79	15	-1
15.66	9.69	-1
21.3	12.39	-1
18.27	10.08	-1
19.5	12.76	-1
22.8	13.86	-1
12.25	7.65	-1
21.17	11.34	-1
16.75	10.44	-1
25.92	15.25	-1
20.8	10.2	-1
17.28	10.07	-1
20.4	11.55	-1
14.25	10	-1
16.24	12.24	-1
20.48	12.19	-1
19.5	9.9	-1
29.26	14.74	-1
20.02	15.87	-1
13.2	7.5	-1
22.08	13.11	-1
15.68	9.8	-1
21.56	13.4	-1
17.01	8.82	-1
22.11	11.97	-1
23.04	10.8	-1
17.36	8.64	-1
18.3	8.82	-1
17.92	11.76	-1
21.6	9.28	-1
20.72	11.59	-1
30.02	12.8	-1
17.92	12.32	-1
17.64	7.65	-1
15.86	7.84	-1
23.1	14.03	-1
21.42	13.44	-1
19.84	9.9	-1
18	8.64	-1
21.39	11.34	-1
20.77	13.44	-1
21.39	11.73	-1
15.66	9.69	-1
21.76	13.57	-1
22.11	14.25	-1
20.1	11.96	-1
15.75	9.5	-1
19.5	10.4	-1
21.08	12.42	-1
17.7	9.18	-1
